no,file,n_records,n_users
17,20241021/20241021.csv,13358,280
17,20241019/20241019.csv,20394,283
17,20241026/20241026.csv,22711,289
17,20241010/20241010.csv,10371,292
17,20241028/20241028.csv,10852,297
17,20241017/20241017.csv,11514,299
17,20241101/20241101.csv,6568,302
17,20240928/20240928.csv,16201,310
17,20241004/20241004.csv,7090,313
17,20241003/20241003.csv,8728,315
17,20240926/20240926.csv,7542,317
17,20241002/20241002.csv,6638,319
17,20240927/20240927.csv,8234,325
17,20241005/20241005.csv,19401,336
17,20240929/20240929.csv,18196,337
18,20241012/20241012.csv,32113,121
18,20241015/20241015.csv,17734,163
18,20241023/20241023.csv,12925,189
18,20241024/20241024.csv,14820,212
18,20241025/20241025.csv,21525,227
18,20241022/20241022.csv,16823,239
18,20241014/20241014.csv,35760,270
18,20241013/20241013.csv,42011,292
18,20241009/20241009.csv,15506,310
18,20241007/20241007.csv,16684,317
18,20241006/20241006.csv,25759,328
18,20241008/20241008.csv,14742,331
18,20241016/20241016.csv,13714,341
18,20241011/20241011.csv,19546,347
18,20241018/20241018.csv,18189,355
18,20241027/20241027.csv,30717,362
18,20241020/20241020.csv,28633,370
18,20241021/20241021.csv,16620,378
18,20241019/20241019.csv,21583,383
18,20241026/20241026.csv,27733,389
18,20241010/20241010.csv,16464,393
18,20241028/20241028.csv,9565,397
18,20241017/20241017.csv,12652,406
18,20241004/20241004.csv,12766,410
18,20241005/20241005.csv,24408,417
19,20241012/20241012.csv,13293,101
19,20241015/20241015.csv,5852,116
19,20241023/20241023.csv,4735,131
19,20241024/20241024.csv,7988,147
19,20241025/20241025.csv,6412,171
19,20241022/20241022.csv,5895,181
19,20241014/20241014.csv,15611,204
19,20241013/20241013.csv,18163,227
19,20241031/20241031.csv,4757,235
19,20241009/20241009.csv,4628,235
19,20241007/20241007.csv,4361,241
19,20241006/20241006.csv,10173,253
19,20241008/20241008.csv,5363,257
19,20241030/20241030.csv,5319,259
19,20241029/20241029.csv,5391,261
19,20241016/20241016.csv,5148,264
19,20241011/20241011.csv,6944,269
19,20241018/20241018.csv,6653,276
19,20241027/20241027.csv,11165,282
19,20241020/20241020.csv,9561,289
19,20241021/20241021.csv,5998,294
19,20241019/20241019.csv,7962,301
19,20241026/20241026.csv,9653,306
19,20241010/20241010.csv,6990,308
19,20241028/20241028.csv,6047,309
19,20241017/20241017.csv,5998,314
19,20241101/20241101.csv,4163,317
19,20241004/20241004.csv,4687,318
19,20241005/20241005.csv,8419,322
20,20241012/20241012.csv,5185,39
20,20240930/20240930.csv,3698,43
20,20241015/20241015.csv,4121,43
20,20241023/20241023.csv,2476,51
20,20241024/20241024.csv,2559,66
20,20241025/20241025.csv,2190,72
20,20241022/20241022.csv,1736,72
20,20241014/20241014.csv,6386,91
20,20241013/20241013.csv,5857,105
20,20241031/20241031.csv,2546,108
20,20241009/20241009.csv,3560,111
20,20241007/20241007.csv,3440,114
20,20241006/20241006.csv,4168,117
20,20241001/20241001.csv,2747,118
20,20241008/20241008.csv,2776,118
20,20241030/20241030.csv,3228,120
20,20241029/20241029.csv,2437,121
20,20241016/20241016.csv,4276,125
20,20241011/20241011.csv,3878,131
20,20241018/20241018.csv,3982,133
20,20241027/20241027.csv,3141,142
20,20241020/20241020.csv,3281,145
20,20241021/20241021.csv,2499,147
20,20241019/20241019.csv,4392,152
20,20241026/20241026.csv,3697,156
20,20241010/20241010.csv,3585,157
20,20241028/20241028.csv,2789,160
20,20241017/20241017.csv,4314,161
20,20240928/20240928.csv,3440,164
20,20241004/20241004.csv,3662,165
20,20241003/20241003.csv,3235,167
20,20240926/20240926.csv,869,167
20,20241002/20241002.csv,3514,167
20,20240927/20240927.csv,3362,168
20,20241005/20241005.csv,4011,170
20,20240929/20240929.csv,3786,173
21,20241023/20241023.csv,4258,25
21,20241024/20241024.csv,5854,34
21,20241025/20241025.csv,6776,48
21,20241022/20241022.csv,5923,57
21,20240826/20240826.csv,1,58
21,20241031/20241031.csv,4139,67
21,20240913/20240913.csv,227,68
21,20241030/20241030.csv,7724,76
21,20241029/20241029.csv,7029,82
21,20241018/20241018.csv,7642,92
21,20241027/20241027.csv,6030,101
21,20241020/20241020.csv,10338,110
21,20241021/20241021.csv,7498,112
21,20241019/20241019.csv,7583,117
21,20241026/20241026.csv,9823,122
21,20241028/20241028.csv,4958,125
21,20241017/20241017.csv,491,125
21,20241101/20241101.csv,2788,125
21,20240928/20240928.csv,9878,131
21,20240926/20240926.csv,754,131
21,20240927/20240927.csv,6244,134
21,20240929/20240929.csv,6339,142
22,20241012/20241012.csv,3901,61
22,20240930/20240930.csv,2561,78
22,20241015/20241015.csv,3613,100
22,20241023/20241023.csv,2344,116
22,20241024/20241024.csv,1601,121
22,20241025/20241025.csv,3411,141
22,20241022/20241022.csv,2848,156
22,20241014/20241014.csv,3441,172
22,20241013/20241013.csv,5938,187
22,20241031/20241031.csv,2195,191
22,20241009/20241009.csv,2495,198
22,20241007/20241007.csv,1739,204
22,20241006/20241006.csv,2736,215
22,20241001/20241001.csv,2014,216
22,20241008/20241008.csv,1441,218
22,20241030/20241030.csv,2177,221
22,20241029/20241029.csv,2626,225
22,20241016/20241016.csv,1996,227
22,20241011/20241011.csv,2649,236
22,20241018/20241018.csv,2560,246
22,20241027/20241027.csv,2984,253
22,20241020/20241020.csv,3365,258
22,20241021/20241021.csv,3705,264
22,20241019/20241019.csv,5686,269
22,20241026/20241026.csv,4045,278
22,20241010/20241010.csv,2905,285
22,20241028/20241028.csv,2563,292
22,20241017/20241017.csv,4527,297
22,20240928/20240928.csv,3369,297
22,20241004/20241004.csv,1760,299
22,20241003/20241003.csv,1935,303
22,20240926/20240926.csv,789,303
22,20241002/20241002.csv,1619,305
22,20240927/20240927.csv,2881,307
22,20241005/20241005.csv,2011,309
22,20240929/20240929.csv,5204,310
23,20241012/20241012.csv,3556,40
23,20241015/20241015.csv,4374,49
23,20241023/20241023.csv,1079,54
23,20241024/20241024.csv,3514,62
23,20241025/20241025.csv,3452,66
23,20241022/20241022.csv,2175,73
23,20241014/20241014.csv,7984,86
23,20241013/20241013.csv,6319,100
23,20241031/20241031.csv,1169,105
23,20240913/20240913.csv,3,105
23,20241009/20241009.csv,443,110
23,20241007/20241007.csv,878,116
23,20241008/20241008.csv,643,120
23,20241030/20241030.csv,1869,124
23,20241029/20241029.csv,3558,128
23,20241016/20241016.csv,1072,128
23,20241011/20241011.csv,2585,135
23,20241018/20241018.csv,1777,138
23,20241027/20241027.csv,4928,140
23,20241020/20241020.csv,5054,146
23,20241021/20241021.csv,3275,148
23,20241019/20241019.csv,5226,149
23,20241026/20241026.csv,3497,152
23,20241010/20241010.csv,3223,153
23,20241028/20241028.csv,3128,156
23,20241017/20241017.csv,4137,158
25,20241012/20241012.csv,10967,78
25,20241015/20241015.csv,10679,105
25,20241023/20241023.csv,10091,126
25,20241024/20241024.csv,9584,144
25,20241025/20241025.csv,12786,162
25,20241022/20241022.csv,9939,181
25,20241014/20241014.csv,12208,191
25,20241013/20241013.csv,15872,204
25,20241031/20241031.csv,3438,206
25,20241009/20241009.csv,12187,222
25,20241008/20241008.csv,3519,228
25,20241030/20241030.csv,10689,237
25,20241029/20241029.csv,12725,245
25,20241016/20241016.csv,12002,254
25,20241011/20241011.csv,13427,259
25,20241018/20241018.csv,10666,265
25,20241027/20241027.csv,6847,268
25,20241020/20241020.csv,12124,275
25,20241021/20241021.csv,13224,283
25,20241019/20241019.csv,10851,286
25,20241026/20241026.csv,10972,291
25,20241010/20241010.csv,13290,294
25,20241028/20241028.csv,12996,300
25,20241017/20241017.csv,10866,301
26,20241023/20241023.csv,14983,139
26,20241024/20241024.csv,31389,206
26,20241022/20241022.csv,38220,260
26,20241016/20241016.csv,2,260
26,20241018/20241018.csv,40005,309
26,20241020/20241020.csv,54170,350
26,20241021/20241021.csv,47045,378
26,20241019/20241019.csv,53497,397
26,20241017/20241017.csv,24211,411
24,20241023/20241023.csv,20632,139
24,20241024/20241024.csv,25948,194
24,20241022/20241022.csv,15778,223
24,20240826/20240826.csv,1,224
24,20241016/20241016.csv,3,224
24,20241018/20241018.csv,16565,254
24,20241020/20241020.csv,24557,291
24,20241021/20241021.csv,22149,314
24,20241019/20241019.csv,15878,329
24,20241017/20241017.csv,4926,335
27,20241012/20241012.csv,8965,32
27,20240930/20240930.csv,8274,50
27,20241015/20241015.csv,10306,67
27,20241023/20241023.csv,12214,83
27,20241024/20241024.csv,7361,90
27,20241022/20241022.csv,6847,104
27,20241014/20241014.csv,11258,109
27,20241013/20241013.csv,9728,120
27,20240827/20240827.csv,1,121
27,20241009/20241009.csv,6710,128
27,20241007/20241007.csv,7481,137
27,20241006/20241006.csv,6938,147
27,20241001/20241001.csv,6222,151
27,20241008/20241008.csv,7356,157
27,20241016/20241016.csv,9388,159
27,20241011/20241011.csv,7002,159
27,20241018/20241018.csv,8016,167
27,20241020/20241020.csv,8053,172
27,20241021/20241021.csv,11759,175
27,20241019/20241019.csv,12150,183
27,20241010/20241010.csv,9084,185
27,20241017/20241017.csv,7955,188
27,20240928/20240928.csv,11276,191
27,20241004/20241004.csv,10468,192
27,20241003/20241003.csv,3709,194
27,20240926/20240926.csv,243,195
27,20241002/20241002.csv,6583,197
27,20240927/20240927.csv,4011,200
27,20241005/20241005.csv,4032,202
27,20240929/20240929.csv,2321,204
